Date (2022) | Stage/Group | Team 1 | Score | Team 2 | Stadium | City | Attendance | Referee
Nov 29 | Group B | Iran | 0–1 | USA | Al Thumama Stadium | Doha | 42,127 | Matthew Conger (New Zealand)
Nov 30 | Group D | Tunisia | 1–0 | France | Education City Stadium | Al Rayyan | 43,627 | Matthew Conger (New Zealand)
Nov 30 | Group D | Australia | 1–0 | Denmark | Al Janoub Stadium | Al Wakrah | 41,232 | Anthony Taylor (England)
Nov 30 | Group C | Poland | 0–2 | Argentina | Stadium 974 | Doha | 44,089 | Danny Makkelie (Netherlands)
Nov 30 | Group C | Saudi Arabia | 1–2 | Mexico | Lusail Iconic Stadium | Lusail | 84,985 | Michael Oliver (England)
Dec 1 | Group F | Croatia | 0–0 | Belgium | Ahmad bin Ali Stadium | Al Rayyan | 43,984 | Anthony Taylor (England)
Dec 1 | Group F | Canada | 1–2 | Morocco | Al Thumama Stadium | Doha | 43,102 | Raphael Claus (Brazil)
Dec 1 | Group E | Japan | 2–1 | Spain | Khalifa Int’l Stadium | Al Rayyan | 44,851 | Victor Gomes (South Africa)
Dec 1 | Group E | Costa Rica | 2–4 | Germany | Al Bayt Stadium | Al Khor | 67,054 | Stéphanie Frappart (France)
Dec 2 | Group H | South Korea | 2–1 | Portugal | Education City Stadium | Al Rayyan | 44,097 | Facundo Tello (Argentina)
Dec 2 | Group H | Ghana | 0–2 | Uruguay | Al Janoub Stadium | Al Wakrah | 43,443 | Daniel Siebert (Germany)
Dec 2 | Group G | Cameroon | 1–0 | Brazil | Lusail Iconic Stadium | Lusail | 85,986 | Ismail Elfath (USA)
Dec 2 | Group G | Serbia | 2–3 | Switzerland | Stadium 974 | Doha | 41,378 | Fernando Rapallini (Argentina)
Dec 3 | Round of 16 | Netherlands | 3–1 | USA | Khalifa Int’l Stadium | Al Rayyan | 44,846 | Ismail Elfath (USA)
Dec 3 | Round of 16 | Argentina | 2–1 | Australia | Ahmad bin Ali Stadium | Al Rayyan | 45,032 | Szymon Marciniak (Poland)
Dec 4 | Round of 16 | France | 3–1 | Poland | Al Thumama Stadium | Doha | 40,989 | Jesús Valenzuela (Venezuela)
Dec 4 | Round of 16 | England | 3–0 | Senegal | Al Bayt Stadium | Al Khor | 65,985 | Iván Barton (El Salvador)
Dec 5 | Round of 16 | Japan | 1–1 (p) | Croatia | Al Janoub Stadium | Al Wakrah | 42,523 | Ismail Elfath (USA)
Dec 5 | Round of 16 | Brazil | 4–1 | South Korea | Stadium 974 | Doha | 43,847 | Alireza Faghani (Iran)
Dec 6 | Round of 16 | Morocco | 0–0 (p) | Spain | Education City Stadium | Al Rayyan | 44,667 | Fernando Rapallini (Argentina)
Dec 6 | Round of 16 | Portugal | 6–1 | Switzerland | Lusail Iconic Stadium | Lusail | 83,720 | César Ramos (Mexico)
Dec 9 | Quarter-final | Croatia | 1–1 (p) | Brazil | Education City Stadium | Al Rayyan | 44,583 | Michael Oliver (England)
Dec 9 | Quarter-final | Netherlands | 2–2 (p) | Argentina | Lusail Iconic Stadium | Lusail | 88,235 | Antonio Mateu Lahoz (Spain)
Dec 10 | Quarter-final | Morocco | 1–0 | Portugal | Al Thumama Stadium | Doha | 44,198 | Facundo Tello (Argentina)
Dec 10 | Quarter-final | England | 1–2 | France | Al Bayt Stadium | Al Khor | 68,895 | Wilton Sampaio (Brazil)
Dec 13 | Semi-final | Argentina | 3–0 | Croatia | Lusail Iconic Stadium | Lusail | 88,966 | Daniele Orsato (Italy)
Dec 14 | Semi-final | France | 2–0 | Morocco | Al Bayt Stadium | Al Khor | 68,294 | César Ramos (Mexico)
Dec 17 | Third Place | Croatia | 2–1 | Morocco | Khalifa Int’l Stadium | Al Rayyan | 44,137 | Abdulrahman Al-Jassim (Qatar)
Dec 18 | Final | Argentina | 3–3 (4–2) p | France | Lusail Iconic Stadium | Lusail | 88,966 | Szymon Marciniak (Poland)
